[98, 11]
[845, 882]
[9, 11]
[151, 224]
[47, 123]
[1, 4]
[128, 146]
[457, 407]
[0, 1]
[527, 2194]
[15, 53]
[17, 1]
[47, 3]
[153, 155]
[5, 18]
[39, 0]
[17, 0]
[1, 3]
[31, 90]
[191, 84]
[79, 18]
[28, 144]
[196, 280]
[15, 40]
[9, 14]
[1, 2]
[4, 8]
[0, 2]
[73, 15]
[9, 45]
[32, 1]
[59, 63]
[66, 19]
[7, 8]
[23, 19]
[0, 5]
[48, 41]
[89, 71]
[39, 144]
[36, 180]
[133, 68]
[10, 28]
[228, 29]
[161, 34]
[64, 3]
[80, 71]
[0, 1]
[41, 268]
[192, 1]
[15, 20]
