[62, 39]
[6, 13]
[29, 54]
[0, 1]
[0, 1]
[18, 38]
[105, 2]
[10, 12]
[0, 1]
[0, 1]
[12, 119]
[81, 66]
[0, 1]
[1, 56]
[29, 0]
[92, 189]
[0, 1]
[0, 2]
[41, 90]
[0, 1]
[24, 1]
[4, 23]
[41, 13]
[183, 3]
[0, 1]
[1, 3]
[6, 8]
[0, 1]
[44, 0]
[41, 110]
[61, 1]
[11, 18]
[28, 0]
[25, 0]
[0, 1]
[38, 41]
[7, 54]
[4, 6]
[2, 4]
[114, 10]
[1, 3]
[184, 222]
[0, 1]
[1, 0]
[1312, 105]
[45, 0]
[0, 1]
[1, 5]
[15, 17]
[0, 2]
