[17, 30]
[0, 1]
[26, 63]
[2, 40]
[90, 63]
[732, 40]
[26, 0]
[2, 7]
[75, 77]
[38, 35]
[12, 3]
[51, 64]
[68, 58]
[71, 51]
[4, 0]
[60, 54]
[11, 0]
[42, 20]
[59, 84]
[64, 272]
[5, 9]
[11, 20]
[0, 6]
[18, 0]
[0, 3]
[15, 32]
[45, 50]
[2, 3]
[0, 1]
[8, 31]
[2, 5]
[23, 64]
[0, 4]
[6, 17]
[8, 16]
[4, 3]
[6, 14]
[21, 16]
[7, 0]
[5, 9]
[3, 8]
[14, 18]
[41, 6]
[22, 3]
[7, 10]
[11, 5]
[24, 13]
[71, 93]
[1, 10]
[4, 17]
